Parcel Number,Sale Date,Sale Amount,Address,Style,Year Built,Total SF,Lot Area,Appraised Value,Recording
1012428001,11/27/2013,"$190,000","205 N WESTMINSTER ST, IOWA CITY",Split Foyer Frame,1978,1220,"13,600","$272,260",5185-851
1012430003,05/30/2013,"$190,000","142 N WESTMINSTER ST, IOWA CITY",Split Foyer Frame,1977,1290,"12,400","$318,310",5106-244
1013303001,10/02/2013,"$190,000","2901 MUSCATINE AVE, IOWA CITY",1 Story Frame,1963,1404,"10,950","$301,330",5178-455
1017331003,06/14/2013,"$190,000","2623 IRVING AVE, IOWA CITY",Split Foyer Frame,1994,1200,"6,360","$287,270",5115-864
1017338005,05/24/2013,"$190,000","1246 COLL DR, IOWA CITY",Split Foyer Frame,1992,1200,"6,588","$300,560",5096-816
1022190004,08/13/2013,"$192,000","746 PEPPER DR, IOWA CITY",Split Level Frame,1994,1652,"7,930","$285,740",5149-320
1017379040,07/29/2013,"$192,500","2260 ABBEY LN, IOWA CITY",1 Story Frame,1979,1594,"9,360","$320,650",5151-531
1011228007,03/28/2013,"$193,000","1102 CHURCH ST, IOWA CITY",1 1/2 Story Frame,1939,1229,"6,450","$286,340",5071-841
1012462008,03/21/2013,"$193,500","2929 CORNELL AVE, IOWA CITY",1 Story Frame,1972,1376,"9,240","$306,320",5069-893
1012331003,06/14/2013,"$194,000","2518 PRINCETON RD, IOWA CITY",Split Foyer Frame,1969,1248,"14,415","$297,790",5112-384
1013178002,12/19/2013,"$194,000","3122 JUNIPER DR, IOWA CITY",1 Story Frame,1969,1144,"13,845","$327,220",5192-583
1022191001,08/08/2013,"$194,000","733 PEPPER DR, IOWA CITY",1 Story Frame,1993,1510,"8,197","$346,180",5143-561
1016270004,07/06/2013,"$194,900","1124 HARLOCKE ST, IOWA CITY",Split Foyer Frame,1975,1132,"13,350","$299,600",5124-837
1012459007,07/08/2013,"$195,000","310 DARTMOUTH ST, IOWA CITY",Split Foyer Frame,1969,1312,"9,100","$300,090",5130-167
1023398001,11/25/2013,"$195,000","1677 VESTI LN, IOWA CITY",Split Level Frame,2006,1965,"8,401","$344,490",5185-505
1010137013,03/18/2013,"$195,200","512 CHURCH ST, IOWA CITY",2 Story Frame,1910,1372,"9,000","$296,440",5066-894
1018404021,03/29/2013,"$196,000","2851 IRVING AVE, IOWA CITY",Split Foyer Frame,1999,1208,"10,940","$296,180",5077-417
